country,state,city,latitude,longitude
Australia,New South Wales,Aberdare,-32.84112000,151.38168000
Australia,New South Wales,Aberdeen,-32.16588000,150.89003000
Australia,New South Wales,Aberglasslyn,-32.70000000,151.53333000
Australia,New South Wales,Abermain,-32.80740000,151.42750000
Australia,New South Wales,Acacia Gardens,-33.73159000,150.91636000
Australia,New South Wales,Adamstown,-32.93824000,151.72541000
Australia,New South Wales,Adamstown Heights,-32.94906000,151.71009000
Australia,New South Wales,Airds,-34.08599000,150.83322000
Australia,New South Wales,Albion Park,-34.57132000,150.77568000
Australia,New South Wales,Albion Park Rail,-34.56634000,150.79177000
Australia,New South Wales,Albury,-36.07482000,146.92401000
Australia,New South Wales,Albury Municipality,-36.01494000,146.95684000
Australia,New South Wales,Aldavilla,-31.08180000,152.76790000
Australia,New South Wales,Alexandria,-33.89989000,151.19951000
Australia,New South Wales,Alfords Point,-33.98744000,151.02526000
Australia,New South Wales,Allambie Heights,-33.76655000,151.24981000
Australia,New South Wales,Allawah,-33.97257000,151.11440000
Australia,New South Wales,Alstonville,-28.84186000,153.44022000
Australia,New South Wales,Ambarvale,-34.08942000,150.79656000
Australia,New South Wales,Anna Bay,-32.78135000,152.08586000
Australia,New South Wales,Annandale,-33.88333000,151.16667000
Australia,New South Wales,Annangrove,-33.65758000,150.94755000
Australia,New South Wales,Appin,-34.20347000,150.78644000
Australia,New South Wales,Arcadia,-33.61667000,151.03333000
Australia,New South Wales,Arcadia vale,-33.06052000,151.58408000
Australia,New South Wales,Argenton,-32.93505000,151.63064000
Australia,New South Wales,Armidale,-30.50123000,151.66553000
Australia,New South Wales,Arncliffe,-33.93627000,151.14819000
Australia,New South Wales,Artarmon,-33.81667000,151.18333000
Australia,New South Wales,Ashbury,-33.89785000,151.11960000
Australia,New South Wales,Ashcroft,-33.91598000,150.89985000
Australia,New South Wales,Ashfield,-33.88834000,151.12274000
Australia,New South Wales,Ashmont,-35.12491000,147.33172000
Australia,New South Wales,Ashtonfield,-32.77331000,151.60583000
Australia,New South Wales,Asquith,-33.68705000,151.11630000
Australia,New South Wales,Auburn,-33.85000000,151.03333000
Australia,New South Wales,Austinmer,-34.30516000,150.93335000
Australia,New South Wales,Austral,-33.92745000,150.80811000
