"Brand Organization Email Extension","Tenant Organization Email Extension","Brand Location Number","Tenant Location Number",Name,Phone,Email,Website,"Address Line one","Address Line Two",Latitude,Longitude,"Zip Code",Country,State,County,"Municipality - Place",Notes
ssafa.org.uk,,,,"SSAFA SSAFA Ayrshire","0141 488 8552",,https://www.ssafa.org.uk/ayrshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA London South West","0204 558 7631",,https://www.ssafa.org.uk/london-south-west,"The Clock Tower, Queen Alexandra’s Court, St Mary’s Road, London, SW19 7DE",,,,,"United Kingdom",,,,"Opening times:  09.30-17.00, Monday to Friday"
ssafa.org.uk,,,,"SSAFA SSAFA Caithness","0141 488 8552",,https://www.ssafa.org.uk/caithness,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Fife","0141 488 8552",,https://www.ssafa.org.uk/fife,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA Merseyside","020 4566 9146",,https://www.ssafa.org.uk/merseyside,"Alamein Reserve Centre, Liverpool Road, Huyton, Liverpool, Merseyside, L36 3RW",,,,,"United Kingdom",,,,"Opening times:  Contact hours - Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Powys","029 2294 1004",,https://www.ssafa.org.uk/powys,"SSAFA Office, The Barracks, Watton, Brecon, Powys",,,,,"United Kingdom",,,,"Opening times:  Contact hours - Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Leicestershire &amp; Rutland","020 4566 9114",,https://www.ssafa.org.uk/leicestershire-rutland,"SSAFA, Clarence House, 46 Humberstone Gate, Leicester ",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Lincolnshire","020 4566 9114",,https://www.ssafa.org.uk/lincolnshire,"SSAFA Office, Bldg 124, Prince William of Gloucester Barracks, Grantham, NG31 7TE",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Buckinghamshire","0204 566 9126",,https://www.ssafa.org.uk/buckinghamshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Lanarkshire","0141 488 8552",,https://www.ssafa.org.uk/lanarkshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA Tyne &amp; Wear","020 4566 9117",,https://www.ssafa.org.uk/tyne-wear,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Nottinghamshire","020 4566 9114",,https://www.ssafa.org.uk/nottinghamshire,"SSAFA Office, Army Reserve Centre, Triumph Road, Nottingham ",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Northamptonshire","020 4566 9114",,https://www.ssafa.org.uk/northamptonshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Norfolk","01603 403 322",,https://www.ssafa.org.uk/norfolk,"SSAFA Office, Britannia House Army Reserve Centre, 325 Aylsham Road, Norwich",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday 09.00-12.00"
ssafa.org.uk,,,,"SSAFA Oxfordshire","0204 566 9126",,https://www.ssafa.org.uk/oxfordshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Perth &amp; Kinross","0141 488 8552",,https://www.ssafa.org.uk/perth-kinross,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA Plymouth","0204 566 9131",,https://www.ssafa.org.uk/plymouth,"SSAFA Office, Fenner Building, HM HMNB, Plymouth",,,,,"United Kingdom",,,,"Opening times:  Contact hours - Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Hampshire","0204 566 9126",,https://www.ssafa.org.uk/hampshire,"South East Regional Office",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Berkshire","0204 566 9126",,https://www.ssafa.org.uk/berkshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA South West Wales","029 2294 1004",,https://www.ssafa.org.uk/south-west-wales,"SSAFA Office",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Wiltshire","0204 566 9131",,https://www.ssafa.org.uk/wiltshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Staffordshire","0204 566 9116",,https://www.ssafa.org.uk/staffordshire,"Suite 6, Beacon House, Unit QA, Beacon Business Park, Stafford, ST18 0W",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Shropshire","0204 566 9116",,https://www.ssafa.org.uk/shropshire,"SSAFA Office, Reserve Centre, Copthorne Barracks, Copthorne Road, Shrewsbury ",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Borders","0141 488 8552",,https://www.ssafa.org.uk/borders,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA Cornwall and the Isles of Scilly","0204 566 9131",,https://www.ssafa.org.uk/cornwall,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Cleveland","020 4566 9117",,https://www.ssafa.org.uk/cleveland,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Worcestershire","0204 566 9116",,https://www.ssafa.org.uk/worcestershire,"SSAFA Army Reserve Centre, Dancox House, Pheasant Street, Worcester WR1 2EE",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Orkney &amp; Shetland","0141 488 8552",,https://www.ssafa.org.uk/orkney-shetland,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
