"Brand Organization Email Extension","Tenant Organization Email Extension","Brand Location Number","Tenant Location Number",Name,Phone,Email,Website,"Address Line one","Address Line Two",Latitude,Longitude,"Zip Code",Country,State,County,"Municipality - Place",Notes
ssafa.org.uk,,,,"SSAFA Hertfordshire","0204 566 9129",,https://www.ssafa.org.uk/hertfordshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Birmingham","020 4566 9116",,https://www.ssafa.org.uk/greater-birmingham,"Our postal address is",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00 (except Bank Holidays)."
ssafa.org.uk,,,,"SSAFA SSAFA Somerset","0204 566 9131",,https://www.ssafa.org.uk/somerset,"1 Eagle House  21-22 Alexandra Parade  Weston super Mare  Somerset  BS23 1QX",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Lancashire","020 4566 9146",,https://www.ssafa.org.uk/lancashire,"SSAFA Lancashire, Shuttleworth Welfare Centre, Fulwood Barracks, Preston",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA West Yorkshire","020 4566 9117",,https://www.ssafa.org.uk/west-yorkshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Dorset","0204 566 9131",,https://www.ssafa.org.uk/dorset,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Greater Manchester","020 4566 9146",,https://www.ssafa.org.uk/greater-manchester,"SSAFA GM Branch Office, TAVR Centre, TAVR Centre, Belle Vue Street, Manchester",,,,,"United Kingdom",,,,"Opening times:  Contact hours - Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Sussex","020 4566 9126",,https://www.ssafa.org.uk/sussex,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA London South East","0204 558 7631",,https://www.ssafa.org.uk/london-south-east,,,,,,"United Kingdom",,,,"Opening times:  09.30-17.00, Monday to Friday"
ssafa.org.uk,,,,"SSAFA Bristol &amp; South Gloucestershire","0204 566 9131",,https://www.ssafa.org.uk/bristol-south-gloucestershire,"SSAFA Bristol &amp; South Gloucestershire, HMS Flying Fox, Winterstoke Road, Bristol",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09.00-17.00"
ssafa.org.uk,,,,"SSAFA Northern Ireland","028 9032 7740",,https://www.ssafa.org.uk/northern-ireland,"21 Talbot St, Belfast BT1 2LD",,,,,"United Kingdom",,,,"Opening times:  Belfast office hours: Tuesday-Thursday, 09:00 - 16:00"
ssafa.org.uk,,,,"SSAFA Cumbria","020 4566 9146",,https://www.ssafa.org.uk/cumbria,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Cambridgeshire &amp; Bedfordshire","0204 566 9129",,https://www.ssafa.org.uk/cambridgeshire-bedfordshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA South East Wales","029 2294 1004",,https://www.ssafa.org.uk/south-east-wales,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Cheshire","020 4566 9146",,https://www.ssafa.org.uk/cheshire,"SSAFA Office, building 156, Liverpool Road, The Dale Barracks, Chester",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Essex","0204 566 9129",,https://www.ssafa.org.uk/essex,"SSAFA Office, Merville Barracks, Colchester",,,,,"United Kingdom",,,,"Opening times:  Contact hours - Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,SSAFA,,,https://www.ssafa.org.uk/london-south-west-1/,,,,,,"United Kingdom",,,,"Opening times:"
ssafa.org.uk,,,,"SSAFA SSAFA Kent","020 4566 9126",,https://www.ssafa.org.uk/kent,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Warwickshire &amp; Coventry","0204 566 9116",,https://www.ssafa.org.uk/warwickshire-coventry,"Westfield House, Army Reserve Centre, Swillington Road, Coventry",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Dundee &amp; Angus","0141 488 8552",,https://www.ssafa.org.uk/dundee-angus,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Derbyshire","020 4566 9114",,https://www.ssafa.org.uk/derbyshire,"1st Floor, Drill Hall, Cluster Road, Belper ",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Dumfriesshire &amp; Stewartry","0141 488 8552",,https://www.ssafa.org.uk/dumfriesshire-stewartry,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Durham","020 4566 9117",,https://www.ssafa.org.uk/durham,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA South Yorkshire","020 4566 9117",,https://www.ssafa.org.uk/south-yorkshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA West Midlands North","0204 566 9116",,https://www.ssafa.org.uk/west-midlands-north,"SSAFA Office, The TA Centre Gordon House, Sutton Road, Walsall",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA London Central","0204 558 7631",,https://www.ssafa.org.uk/london-central,"Queen Elizabeth House, 4 St Dunstan's Hill, London",,,,,"United Kingdom",,,,"Opening times:  09.30-17.00, Monday to Friday"
ssafa.org.uk,,,,"SSAFA SSAFA Edinburgh &amp; Lothians","0141 488 8552",,https://www.ssafa.org.uk/edinburgh-lothians,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA London North West","0204 558 7631",,https://www.ssafa.org.uk/london-north-west,,,,,,"United Kingdom",,,,"Opening times:  09.30-17.00, Monday to Friday"
ssafa.org.uk,,,,"SSAFA Devon","0204 566 9131",,https://www.ssafa.org.uk/devon,"SSAFA Office, Room FO2, Building 7, Wyvern Barracks, Barrack Road, Exeter",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Forth Valley","0141 488 8552",,https://www.ssafa.org.uk/forth-valley,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA  SSAFA Glasgow &amp; Renfrewshire","0141 488 8552",,https://www.ssafa.org.uk/glasgow-renfrewshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA Gloucestershire","020 4566 9131",,https://www.ssafa.org.uk/gloucestershire,"SSAFA Gloucestershire, Army Reserve Centre, Came Place, Gloucester. GL4 3BD",,,,,"United Kingdom",,,,"Opening times:  Contact hours - Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Surrey","0204 566 9126",,https://www.ssafa.org.uk/surrey,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA North Yorkshire","020 4566 9117",,https://www.ssafa.org.uk/north-yorkshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Herefordshire","01432 273932",,https://www.ssafa.org.uk/herefordshire,"SSAFA c/o Herefordshire Council, Plough Lane, Hereford",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Inverness-Shire &amp; Western Isles","0141 488 8552",,https://www.ssafa.org.uk/inverness-shire-western-isles,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA East Yorkshire","020 4566 9117",,https://www.ssafa.org.uk/east-yorkshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Suffolk","0204 566 9129",,https://www.ssafa.org.uk/suffolk,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA  Ross &amp; Cromarty","0141 488 8552",,https://www.ssafa.org.uk/ross-cromarty,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
